transaction_id,date,customer_id,region,segment,product_id,category,quantity,unit_price,revenue
TXN_000001,2023-09-09,CUST_0362,North,Regular,PROD_042,Home & Garden,1,205.74,205.74
TXN_000002,2022-07-17,CUST_0016,West,Regular,PROD_017,Clothing,3,174.48,523.44
TXN_000003,2022-02-09,CUST_0028,East,Budget,PROD_031,Home & Garden,2,311.99,623.99
TXN_000004,2022-12-02,CUST_0409,East,Premium,PROD_038,Home & Garden,1,301.4,301.4
TXN_000005,2022-01-13,CUST_0451,South,Regular,PROD_048,Sports,1,416.99,416.99
TXN_000006,2023-03-08,CUST_0271,West,Regular,PROD_031,Home & Garden,1,273.67,273.67
TXN_000007,2022-05-29,CUST_0393,East,Budget,PROD_050,Sports,1,470.92,470.92
TXN_000008,2023-05-29,CUST_0341,South,Premium,PROD_042,Home & Garden,1,202.98,202.98
TXN_000009,2023-12-10,CUST_0368,North,Regular,PROD_035,Books,2,330.09,660.19
TXN_000010,2023-06-13,CUST_0121,West,Regular,PROD_046,Sports,1,12.94,12.94
TXN_000011,2022-06-20,CUST_0117,East,Regular,PROD_022,Clothing,1,126.4,126.4
TXN_000012,2023-09-03,CUST_0005,East,Regular,PROD_014,Electronics,3,349.04,1047.13
TXN_000013,2022-09-30,CUST_0345,South,Regular,PROD_006,Books,1,74.87,74.87
TXN_000014,2022-08-26,CUST_0006,East,Premium,PROD_038,Home & Garden,1,255.09,255.09
TXN_000015,2023-12-31,CUST_0032,North,Budget,PROD_005,Home & Garden,1,202.69,202.69
TXN_000016,2023-01-18,CUST_0354,North,Regular,PROD_022,Clothing,1,167.83,167.83
TXN_000017,2022-07-23,CUST_0076,North,Budget,PROD_050,Sports,1,494.65,494.65
TXN_000018,2022-07-20,CUST_0374,East,Regular,PROD_007,Books,1,174.79,174.79
TXN_000019,2022-12-08,CUST_0005,East,Regular,PROD_034,Home & Garden,1,35.45,35.45
TXN_000020,2023-07-30,CUST_0398,South,Regular,PROD_002,Sports,3,218.95,656.85
TXN_000021,2022-09-30,CUST_0034,North,Budget,PROD_025,Clothing,3,321.57,964.72
TXN_000022,2023-01-06,CUST_0360,North,Regular,PROD_027,Clothing,2,368.84,737.68
TXN_000023,2023-03-23,CUST_0122,North,Premium,PROD_046,Sports,1,17.15,17.15
TXN_000024,2022-06-22,CUST_0416,West,Budget,PROD_041,Books,1,47.81,47.81
TXN_000025,2022-03-16,CUST_0327,North,Budget,PROD_041,Books,1,43.94,43.94
TXN_000026,2023-03-17,CUST_0294,East,Regular,PROD_015,Clothing,1,393.27,393.27
TXN_000027,2022-11-13,CUST_0445,South,Regular,PROD_010,Electronics,2,66.3,132.61
TXN_000028,2022-12-13,CUST_0159,East,Budget,PROD_043,Beauty,1,332.09,332.09
TXN_000029,2023-03-26,CUST_0498,North,Regular,PROD_032,Electronics,1,419.06,419.06
TXN_000030,2023-01-24,CUST_0011,East,Regular,PROD_011,Electronics,1,202.36,202.36
TXN_000031,2022-04-10,CUST_0175,East,Regular,PROD_026,Sports,1,214.83,214.83
TXN_000032,2023-11-11,CUST_0029,West,Regular,PROD_011,Electronics,2,176.4,352.8
TXN_000033,2022-06-08,CUST_0370,East,Regular,PROD_032,Electronics,1,448.28,448.28
TXN_000034,2023-01-25,CUST_0492,South,Premium,PROD_040,Clothing,1,316.97,316.97
TXN_000035,2022-07-31,CUST_0346,East,Regular,PROD_043,Beauty,1,301.95,301.95
TXN_000036,2022-06-28,CUST_0225,South,Budget,PROD_036,Home & Garden,1,195.92,195.92
TXN_000037,2023-05-17,CUST_0377,South,Regular,PROD_043,Beauty,1,284.23,284.23
TXN_000038,2022-11-19,CUST_0259,West,Regular,PROD_042,Home & Garden,3,224.49,673.47
TXN_000039,2023-09-04,CUST_0187,West,Budget,PROD_038,Home & Garden,1,275.78,275.78
TXN_000040,2023-03-14,CUST_0062,West,Budget,PROD_039,Clothing,1,324.04,324.04
TXN_000041,2022-06-02,CUST_0100,East,Regular,PROD_047,Electronics,1,508.72,508.72
TXN_000042,2023-10-17,CUST_0036,South,Premium,PROD_027,Clothing,3,293.49,880.48
TXN_000043,2023-11-14,CUST_0078,South,Budget,PROD_010,Electronics,2,54.87,109.74
TXN_000044,2023-08-05,CUST_0368,North,Regular,PROD_005,Home & Garden,2,208.52,417.04
TXN_000045,2022-03-04,CUST_0009,South,Budget,PROD_012,Sports,1,169.94,169.94
TXN_000046,2022-05-12,CUST_0323,South,Regular,PROD_034,Home & Garden,1,32.36,32.36
TXN_000047,2022-10-06,CUST_0087,North,Budget,PROD_037,Clothing,3,262.3,786.89
TXN_000048,2023-02-10,CUST_0485,East,Budget,PROD_036,Home & Garden,1,201.37,201.37
TXN_000049,2022-05-10,CUST_0102,East,Regular,PROD_004,Clothing,1,90.97,90.97
TXN_000050,2022-01-31,CUST_0229,North,Budget,PROD_009,Clothing,1,367.31,367.31
TXN_000051,2023-11-05,CUST_0216,South,Budget,PROD_036,Home & Garden,1,238.2,238.2
TXN_000052,2023-10-01,CUST_0330,East,Budget,PROD_024,Clothing,2,64.45,128.9
TXN_000053,2023-10-23,CUST_0297,East,Budget,PROD_045,Electronics,1,183.68,183.68
TXN_000054,2022-01-27,CUST_0407,North,Premium,PROD_012,Sports,1,164.8,164.8
TXN_000055,2022-07-31,CUST_0280,South,Budget,PROD_025,Clothing,2,290.44,580.88
TXN_000056,2022-09-27,CUST_0062,West,Budget,PROD_012,Sports,1,191.29,191.29
TXN_000057,2023-08-22,CUST_0320,North,Premium,PROD_035,Books,1,285.08,285.08
TXN_000058,2023-09-11,CUST_0053,South,Regular,PROD_029,Sports,3,306.4,919.19
TXN_000059,2022-11-05,CUST_0100,East,Regular,PROD_049,Sports,1,391.89,391.89
TXN_000060,2022-09-19,CUST_0094,East,Regular,PROD_049,Sports,1,311.71,311.71
TXN_000061,2022-02-06,CUST_0481,South,Premium,PROD_050,Sports,1,385.58,385.58
TXN_000062,2023-10-19,CUST_0423,West,Budget,PROD_032,Electronics,1,524.92,524.92
TXN_000063,2022-05-01,CUST_0481,South,Premium,PROD_035,Books,1,336.68,336.68
TXN_000064,2022-03-28,CUST_0271,West,Regular,PROD_022,Clothing,1,178.74,178.74
TXN_000065,2022-02-23,CUST_0403,East,Budget,PROD_029,Sports,1,320.15,320.15
TXN_000066,2022-05-26,CUST_0435,North,Budget,PROD_021,Books,1,452.66,452.66
TXN_000067,2023-01-19,CUST_0465,North,Regular,PROD_024,Clothing,2,68.53,137.06
TXN_000068,2022-09-16,CUST_0319,East,Regular,PROD_009,Clothing,1,375.34,375.34
TXN_000069,2022-06-20,CUST_0398,South,Regular,PROD_028,Clothing,1,258.55,258.55
TXN_000070,2023-12-10,CUST_0250,South,Premium,PROD_042,Home & Garden,1,167.09,167.09
TXN_000071,2022-04-19,CUST_0271,West,Regular,PROD_040,Clothing,1,251.08,251.08
TXN_000072,2023-01-13,CUST_0264,South,Regular,PROD_003,Clothing,1,178.65,178.65
TXN_000073,2022-12-25,CUST_0051,East,Premium,PROD_026,Sports,3,241.4,724.19
TXN_000074,2022-08-16,CUST_0123,South,Regular,PROD_017,Clothing,3,184.26,552.78
TXN_000075,2023-12-26,CUST_0472,North,Premium,PROD_018,Beauty,2,115.88,231.76
TXN_000076,2023-06-02,CUST_0498,North,Regular,PROD_010,Electronics,1,57.66,57.66
TXN_000077,2022-02-14,CUST_0220,West,Budget,PROD_003,Clothing,1,191.24,191.24
TXN_000078,2022-04-15,CUST_0286,West,Budget,PROD_005,Home & Garden,1,184.3,184.3
TXN_000079,2023-01-13,CUST_0270,North,Regular,PROD_023,Books,1,226.0,226.0
TXN_000080,2023-09-28,CUST_0363,East,Regular,PROD_005,Home & Garden,1,215.61,215.61
TXN_000081,2023-11-15,CUST_0440,North,Premium,PROD_002,Sports,1,202.51,202.51
TXN_000082,2022-10-07,CUST_0118,South,Premium,PROD_005,Home & Garden,3,206.44,619.31
TXN_000083,2022-09-03,CUST_0232,South,Regular,PROD_016,Home & Garden,1,571.59,571.59
TXN_000084,2022-08-29,CUST_0382,West,Budget,PROD_036,Home & Garden,2,194.84,389.68
